company,name,city,recruit_type,url,source,jd_raw,status,reason
京东,业务产品经理,上海,,https://campus.jd.com/#/jobs/7227,cdp_jd,"1-通过市场分析，制定业务产品策略、开展产品设计、研发、定价与推广，实现商业营收，业务方向主要覆盖供应链、快递快运、冷链、医药物流等；
2-独立开展用户研究全流程工作，把控项目节奏、研究质量，输出了落地研究报告；
3-关注行业动态，定期产出有价值情报信息，定期产出提炼为可能的解决方案；
4-主动搭建业务与用户之间的沟通桥梁。 1-2025年10月1日至2026年9月30日期间毕业，统招本科及以上学历；
2-心理学、社会学、统计学、市场营销等相关专业优先； 
3-对产品开发、设计、测试、运营等有一定了解； 
4-具备大局观，逻辑思维能力强，主动性高，有高效的执行力，具备优秀的理解、沟通与协调能力，有一定的文字表达能力；
5-符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。",OK,
京东,业务支持,上海,,https://campus.jd.com/#/jobs/7162,cdp_jd,"1-业务流程机制建设，搭建及优化业务流程及机制，确保业务开展；
2-梳理优化管理工具，分析模型，通过协调和跟进各组织相关工作，对重点工作给予阶段性评价并促进工作的闭环管理；
3-基于对重点项目工作迅速落地的支持，建立项目管理机制，包含：项目流程梳理、职能协调跟进、项目进度推进、项目落地等；
4-根据业务需求，可能会负责招商相关工作，商户的开发与管理，拓展并维护相关机构（如政府、行业协会等）关系，跟进目标商家的谈判、入驻等相关工作。 1-2025年10月1日至2026年9月30日期间毕业，统招本科及以上学历；
2-熟练应用EXCEL等办公工具，有良好的信息收集和数据分析能力；
3-具备敏锐的洞察力、良好的沟通协调能力；
4-符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。",OK,
京东,交互设计师,上海,,https://campus.jd.com/#/jobs/7068,cdp_jd,"1-分析用户需求、梳理产品逻辑，根据核心目标完成交互原型设计；
2-结合用户研究进行原有界面及流程的优化；
3-组织梳理交互设计规范并负责维护和实施，参与创新产品的策划及设计。 1-2025年10月1日至2026年9月30日期间毕业，统招本科及以上学历；
2-热爱生活，对交互设计敏感；
3-熟悉交互设计方法与工具，对交互设计过程有较为深刻的理解，能理解交互设计在产品各个阶段的职责；
4-较强的理解和逻辑思维能力，关注用户体验；
5-有用户同理心，对用户研究有一定的了解；
6-良好的沟通与协调的能力，良好的合作态度及团队精神；
7-符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。",OK,
京东,产品方向,上海,,https://campus.jd.com/#/jobs/6709,cdp_jd,"轮岗期间的工作地以北京为主，会在集团内各个业务、产品部门进行轮岗学习，通过轮岗学习建立对业务全流程的视角和理解，有利于产品和技术在真实数据和商业环境中的落地；集训&轮岗半年后将会定岗至各BGBU的产品岗位（含C端、B端、AI、数据等岗位），届时将结合公司需求和个人意愿，确认具体的部门岗位和工作地。 1-2025年10月1日至2026年9月30日期间毕业，统招本硕学历不限；
2-对互联网类产品有极大热情，熟悉国内互联网发展历程，了解国内、国际先进的产品理念、形态及模式。如意向定岗AI方向需对AI产品、生成式技术应用充满热情，关注大模型相关动态；
3-具备产品管理的基础知识技能，熟悉产品全生命周期及产品方法论。如意向定岗AI方向需对AI技术（如大模型、多模态、数字人、具身智能/机器人等）有基础认知；
4-具备敏锐的用户洞察和商业思维，能够勇于推陈出新，善于把握及探索产品背后的商业价值；
5-对京东的商业模式有了解，认同京东价值观与商业价值并愿意为其长期努力；
6-符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。",OK,
京东,产品运营,上海,,https://campus.jd.com/#/jobs/7213,cdp_jd,"1-负责产品规划设计，专注于某一类线上产品的运营；
2-围绕线上产品全生命周期，通过活动策划-内容组织-数据分析-内外部资源拓展等多种运营手段，拉升产品用户增长、加大用户使用深度；
3-提升个产品的注册量-用户访问深度-用户访问频次-用户关系对数量-发帖量等指标，实现商业价值转化。 1-2025年10月1日至2026年9月30日期间毕业，统招本科及以上学历；
2-对研发体系全链路有一定了解，对设计-业务有一定认知；
3-具有优秀的逻辑思维能力-系统分析能力-突出的数据分析能力，乐于思考，并勇于尝试将思考转化为落地的执行方案；
4-喜欢挑战，热爱价值创造，认同京东的商业理念；
5-符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。",OK,
京东,人事运营,上海,,https://campus.jd.com/#/jobs/6613,cdp_jd,"1.负责社保公积金、入离职等业务的实操交付与流程梳理，明确时间节点、操作规范及交付标准，支撑从属地交付到共享集中交付的平稳过渡；
2.结合交付模式和结果，识别问题和可改善项，推进优化完善，对业务交付效率和质量负责；
3.负责深耕属地社保公积金政策，制定实操指引并做好更新维护，并提供属地业务政策咨询支持；
4.负责属地社保供应商管理及与外部部门的对接协调；
5.负责员工人事相关业务咨询答疑。​ 1.2025年10月1日-2026年9月30日期间毕业，统招本科及以上学历，人力资源管理、工商管理等相关专业优先；
2.具备基础人力知识，熟练使用 Excel 等办公软件，对社保公积金政策有初步了解，有HR相关实习经验优先；​
3.逻辑清晰，有流程梳理与问题分析能力；沟通协调力强，责任心与抗压性好，具备团队精神与强学习力。",OK,
京东,人力资源（专业方向）,上海,,https://campus.jd.com/#/jobs/7058,cdp_jd,"1-系统参与公司人力资源某一个或几个领域的业务流程，包括但不限于：招聘、HRBP、培训、组织发展、绩效、员工关系、薪酬、企业文化等；
2-深入参与或负责人力资源相关模块的项目，通过实际项目管理和推动来锻炼、提升专业能力和个人经验；
3-与协同部门保持有效沟通，推动最新人才策略落地，为组织发展提供支持。 1-2025年10月1日至2026年9月30日期间毕业，统招本科及以上学历；
2-了解人力资源各模块基本工作，熟悉了解TA、ER、C&B、OC&OD等相关模块专业知识，有相关实习经验优先；
3-学习能力强，具备良好的逻辑思维和思考力；
4-熟练应用EXCEL等办公工具，有良好的信息收集和分析能力；
5-符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。",OK,
京东,人才交付,上海,,https://campus.jd.com/#/jobs/6553,cdp_jd,"1.负责开展人才交付工作，根据业务发展需求，执行招聘计划，以满足组织对人才的需求；
2.通过多渠道挖掘与筛选候选人，进行初步评估，确保人才质量与岗位要求的匹配；
3.负责组织面试、跟进面试流程，提供专业的招聘服务，确保招聘流程的顺利进行；
4.定期总结招聘数据，分析招聘效果，为招聘策略的优化提供数据支持；
5.与团队成员紧密合作，共同提升招聘效率与质量，助力业务快速发展。 1.2025年10月1日至2026年9月30日期间毕业，统招本科及以上学历；
2.了解人力资源各模块基本工作，有相关实习经验优先；
3.学习能力强，具备良好的逻辑思维和思考力；
4.熟练应用EXCEL等办公工具，有良好的信息收集和分析能力；
5.符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。",OK,
京东,仓/场地经理,上海,,https://campus.jd.com/#/jobs/6559,cdp_jd,"1.新锐之星-青干班计划是京东战略性人才招募及发展项目，希望通过3年的时间培养出支撑京东基层业务长远发展的基石人才；
2.通过轮岗历练，从基层一线起步，逐步深入参与或负责物流业务模块的具体项目工作，通过实际项目管理和推动来锻炼、提升专业能力和个人经验，从而持续推动业务改善提升；
3.系统参与物流各运营业务模块的管理工作。如：仓储、分拣，转运、运力、大件，逆向，冷链等板块的履约服务管理，物流规划管理及相关工作流程的优化
4.深入参与地区运营质量管理，推广营运新业务和运作模式，持续优化创新物流相关业务流程，促进质量目标达成；
5.以提升物流供应链体验、降低成本、提高效率为目标，持续创新优化物流相关业务流程。 1.2025年10月1日至2026年9月30日期间毕业，统招本科及以上学历，理工类相关专业，物流专业更佳；
2.热爱物流行业并愿意长期深耕物流行业；认同京东的企业文化及发展方向，愿意深入一线从基层开始有志成为该行业领域领军人才；
3.具有良好的逻辑思维和沟通能力，良好的担当和团队协作意识及团队管理能力；
4.具备持续学习的热情，能够积极主动的思考解决问题；善于总结学习所得，不断优化流程；
5.能够接受轮岗培养，愿意从基层岗位做起。",OK,
京东,仓/场地经理（前置仓）,上海,,https://campus.jd.com/#/jobs/6609,cdp_jd,"1.从生鲜供应链一线起步，逐步深入学习和参与生鲜供应链各个版块的优化项目以及现场管理，提升供应链管理专业能力，持续推动供应链全链路优化；
2.学习链路系统思维，从点、线、面做现场优化、系统优化、管理优化；
3.以提升供应链体验、降低成本、提高效率为目标，持续创新。 1.2025年10月1日至2026年9月30日期间毕业，大专及以上学历，物流专业更佳；
2.认同京东的企业文化及发展方向，愿意深入一线从基层开始有志成为该行业领域领军人才；
3.具有良好的逻辑思维和沟通能力，良好的担当和团队协作意识及团队管理能力；
4.具备持续学习的热情，能够积极主动的思考解决问题；善于总结学习所得，不断优化流程；
5.能够接受轮岗培养，愿意从基层岗位做起，能接受夜班轮岗；
6.符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。",OK,
