unique_id,company_name,company_level,job_name,recruit_type,work_location,salary_range,publish_time,deadline,department,job_description,job_requirement,recruit_count,delivery_link,source_platform,crawl_time,original_url,company_nature,financing_round,company_scale,welfare_tag
6df32975420bbd8933b1a9e6e4419033096d52c8,长江证券,B,长江保荐-投行业务岗（股权方向）(J11185),实习,】 武汉、成都、重庆、上海 投递要求： 简历要求： 中文 截止日期：2026-0,面议,2026-02-05,2026-04-30,,"【岗位职责】
1、开展项目尽职调查、申报材料制作、工作底稿整理归档等工作，并确保所负责工作的执业质量，在项目执行层面控制项目风险；
2、就项目所属行业开展研究工作；
3、公司交办的其他工作。

【任职要求】
1、2026届硕士研究生及以上学历，财务、法律、金融相关专业或具备相关知识基础，具有理工科专业复合背景者优先；
2、具有较强的学习能力、沟通能力和文字表达能力；
3、为人诚信踏实，谦虚好学，有志于将投行作为自己的职业方向，具有高度的责任心，可以胜任高强度的工作，并能接受出差。

【工作地点】
武汉、成都、重庆、上海",截止日期：2026-04-30,,https://www.shixiseng.com/intern/inn_axingfgavqz7?pcm=pc_SearchList,实习僧,2026-03-19 23:18:35,https://www.shixiseng.com/intern/inn_axingfgavqz7?pcm=pc_SearchList,,,,
1a4f46d01eb159c81967a047b17858de6b073e29,亿滋,B,MKT Intern-Oreo team,实习,上海市/上海市/徐汇区 悟锦世纪大楼 上海市富民路291号 求职中若出现虚假宣传,面议,2026-03-19,2027-01-08,,"Calling all creative minds and innovators! Here's your golden ticket to join Oreo's legendary brand team at Mondelēz International, a global snacking powerhouse. As an intern, you'll dive into the heart of iconic marketing campaigns, blend creativity with cutting-edge strategies, and leave your mark on a brand adored by millions worldwide.
 
Key scope :
 Campaign Support & Execution
Assist in planning and executing 360° Oreo marketing campaigns (social/digital/media).
Collaborate on KOL/KOC partnerships: outreach, contracts, content alignment, and performance tracking.
 
 Innovation & Renovation
Support new product launches and packaging innovations through market research and trend analysis.
Help develop consumer-centric concepts for pitches and internal reviews.
 
 Operational Excellence
Manage day-to-day administrative tasks (contract, PO etc.).
 
Requirement:
1. Current undergraduate/graduate student in Marketing, Business, Communications, or related fields
2. High learning agility and strong ability to adapt
3. Proactive, resistant to stress and result-oriented
4. Keen sense of curiosity, strong willingness to accept new challenges and good leadership skills
5. Bonus Points: Prior internship experience in FMCG, digital marketing, or influencer collaboration
6. Working time: 5 days/week, last at least 5 months, on-site in head office, onboard ASAP",截止日期：2027-01-08,,https://www.shixiseng.com/intern/inn_cyjac0xlvkrx?pcm=pc_SearchList,实习僧,2026-03-19 23:21:12,https://www.shixiseng.com/intern/inn_cyjac0xlvkrx?pcm=pc_SearchList,,,,
b395b4a2a2455cc82f6c8e274924acba91693683,亿滋,B,上海-法务部实习生,实习,上海市/上海市/徐汇区 悟锦世纪大楼 上海市富民路291号 求职中若出现虚假宣传,面议,2026-03-19,2026-12-31,,"Responsibilities：
1. Collecting copycat and counterfeits clues and maintain the data status.
2. Formatting contract templates.
3. Legal research, especially concerning labor/anti-unfair competition/commercial bribery law/regulation;
4. Legal watch, provide latest legislation regarding the above topics;
5. Case study concerning the above topics, and provide legal analysis;
6. Review/draft of simple contracts, including contracts comparison; Contract management;
7. Translation of legal documents;
8. On-site consultation of corporate registration related matters;
9. Other task as assigned.

Requirements：
1. Major in law; 
2. Passed national bar examination is preferred; 
3. Good command of written English; 
4. Strong sense of responsibility and commitment; 
5. Good at communicating with others; 
6. Good at excel and data analysis.
7. Minimum 3 months internship, long-term commitment is preferred.",截止日期：2026-12-31,,https://www.shixiseng.com/intern/inn_jxvatqbroubs?pcm=pc_SearchList,实习僧,2026-03-19 23:21:14,https://www.shixiseng.com/intern/inn_jxvatqbroubs?pcm=pc_SearchList,,,,
8916ea5ec813a2e61cdfd5333b853457c047e0b5,亿滋,B,Trade Marketing Planning Team-Intern,实习,上海市/上海市/徐汇区 悟锦世纪大楼 上海市富民路291号 求职中若出现虚假宣传,面议,2026-03-19,2027-01-08,,"核心岗位职责
1. 外部数据与洞察：分析NIQ重点渠道/门店/品类主要KPI（如市场份额/拓展点位/单点卖力等）
2. 内部数据分析：执行与反馈，包括如鹰眼/黄金眼等POS数据追踪，展现产品卖力和执行效果。
3. 配额管理：根据控配要求进行系统设置和调整。
4. 样品管理：领样流程申请和操作
5. 其他

任职要求
1. 学历与时间：本科大三/大四或研究生在读；能稳定实习6个月以上，每周4天以上，尽快到岗。
2. 技能必备：熟练使用Excel（VLOOKUP、SUMIF、数据透视表）与PPT；具备基础数据敏感度与逻辑分析能力。
3. 能力要求：沟通协调强，跨部门对接高效；细心靠谱有ownership，能在多任务并行下抗压交付。
4. 加分项：有快消/电商/市场实习经历；中英文书面沟通流畅；对社媒热点、美妆/食品/家清等品类有敏锐洞察。",截止日期：2027-01-08,,https://www.shixiseng.com/intern/inn_n0wzjjn7ps2x?pcm=pc_SearchList,实习僧,2026-03-19 23:21:18,https://www.shixiseng.com/intern/inn_n0wzjjn7ps2x?pcm=pc_SearchList,,,,
bb9263ac31664b673bbb76dce67cba1c384b1fd8,亿滋,B,MKT Intern-Candy Brand Team,实习,上海市/上海市/徐汇区 悟锦世纪大楼 上海市富民路291号 求职中若出现虚假宣传,面议,2026-03-19,2027-01-08,,"Scope:
-Support - Halls exam season/ Brand celebrity announcement/IP campaigns (visuals, KOLs, internal communication, etc.); 
-Lead - Halls official account content and execution; 
-Support - Choclairs/Stride Mint projects (if any); 
-Other systems and processes (PO/GR/sampling/finance, etc.)
Requirement:
沟通能力良好，逻辑清晰，细心，有责任心
有意愿学习，对marketing感兴趣
喜欢social 冲浪，对流行梗敏感，对内容有较强感知力
可以接受相关经验少，但是愿意做执行工作的大三/研一同学
一周5天，持续6个月 (3-9月）",截止日期：2027-01-08,,https://www.shixiseng.com/intern/inn_joyoirjps4qs?pcm=pc_SearchList,实习僧,2026-03-19 23:21:19,https://www.shixiseng.com/intern/inn_joyoirjps4qs?pcm=pc_SearchList,,,,
02de7d4af87000f2a257b3f7bcde2194c662830a,EF海外游学,B,EF海外游学产品总监实习助理,实习,上海市/上海市/静安区 九安广场 铜仁路258号 求职中若出现虚假宣传，收取财物,150元/天,2026-03-19,2026-03-20,,"工作时间：上午9:30--下午6:30 每周至少3天；
薪资：150元/天；

部门：EF海外游学留学部
在全开放式的办公环境中，快速学习和实践商业技能，办公室位于静安寺，交通便利，Happy hour，免费咖啡茶饮；
在工作的同时了解游学留学市场，了解英孚海外游学留学产品，给自己的未来多一个选择走出你的舒适区，挑战自我的极限，给你一个舞台成为更好的自己；国际化的公司文化，开阔你的视野，给你不一样的体验。

岗位职责：
1.电话和家长客户沟通，激活用户，负责如行前指导、客户信息管理、入账等其他事务
2.和家长及学员确认出行信息等
3.协助跨部门沟通，完成老板布置的其他工作

岗位要求：
每周至少有3--5天实习时间，至少实习3个月及以上
能够熟练使用Microsoft Office 等办公软件
英语口语和书面表达流利（操作系统全英文）
沟通表达能力强，随机应变，处事灵活
有海外学习或游历经验优先",截止日期：2026-03-20,,https://www.shixiseng.com/intern/inn_am6vs7il96nt?pcm=pc_SearchList,实习僧,2026-03-19 23:21:20,https://www.shixiseng.com/intern/inn_am6vs7il96nt?pcm=pc_SearchList,,,,
77eee0c74283008a4f6855419db696436b2932f8,EF海外游学,B,签证翻译实习生,实习,上海市/上海市/静安区 九安广场 铜仁路258号 求职中若出现虚假宣传，收取财物,面议,2026-03-19,2026-03-20,,"岗位职责：
1.整理签证申请材料，管理文件资源
2.协助签证老师收集、整理客户的签证申请所需材料
3.协助审核材料是否有效，对问题材料进行沟通处理
4.帮助客户完善个人陈述，填写签证申请表格，精准翻译全套申请材料
5.其他相关翻译文案性的工作，熟悉并了解热门国家的签证办理流程

岗位要求：
1.认真、踏实、擅长沟通，有良好的客户服务意识
2.责任心强，细致、耐心，工作积极主动
3.能承受一定的工作压力，热爱教育和旅游
4.英语相关专业、专四或者专八优先；或者雅思6.0及以上

我们是谁？
EF教育集团，全球最大的教育集团之一，1965年诞生于北欧国家瑞典。
我们不仅提供国内的成人及少儿英语培训，还在全球的20多个国家有50多个海外校区，而你将要工作的BU就是EF历史最悠久的产品线——EF海外游学留学。
EF海外游学留学，在全球20+国家50+城市，提供10余种语言的学习及文化体验。其项目包含了青少年海外冬夏令营，大学生海外实习、海外雅思托福备考，职场白领短期海外游学，学年制语言课程（间隔年），本科、硕士、MBA预科课程，以及为公司高管量身定制的海外高级管理课程，覆盖全年龄段。",截止日期：2026-03-20,,https://www.shixiseng.com/intern/inn_apjopzsamw28?pcm=pc_SearchList,实习僧,2026-03-19 23:21:21,https://www.shixiseng.com/intern/inn_apjopzsamw28?pcm=pc_SearchList,,,,
8a70e1aa0c950ffa5a5cfe642edec517b0d2cc4d,EF海外游学,B,平面设计实习生,实习,上海市/上海市/静安区 九安广场 铜仁路258号 求职中若出现虚假宣传，收取财物,面议,2026-03-19,2026-03-20,,"注：简历+作品集，请发送至邮箱

岗位职责： 
- 协助设计师，制作市场部的物料，包含但不限于：活动海报、直播海报、广告创意及落地页、新媒体配图等
- 与供应商沟通，协助设计师完成实体物料的制作，如品牌的帆布包、卫衣等
- 协助市场部其他成员，剪辑新媒体短视频

岗位要求： 
- 一周能工作三天以上（需要到公司坐班），并持续6个月以上；
- 上海学校学生优先，本科、研究生均可申请；最好是大四或者研一、研二学生，时间宽裕
- 熟练使用PS及AI；
- 有视频剪辑能力，会使用FinalCut, Pr或剪映，必剪等软件；

公司福利： 
- 实习证明；若表现优异，可额外获得推荐信
- 空间超大的办公室，供应免费的冰淇淋、咖啡，定期有丰富办公室活动
- 相亲相爱的EF大家庭，开放、包容、鼓励创新的企业文化

公司介绍：

- EF教育集团，全球最大的教育集团之一，1965年诞生于北欧国家瑞典。目前在全球116个国家共有46,500名员工。
- 我们不仅提供国内的成人及少儿英语培训，还在全球的20多个国家有50多个海外校区，而你将要工作的BU就是EF历史最悠久的产品线——EF海外游学留学。
- EF海外游学留学，在全球20+国家50+城市，提供10余种语言的学习及文化体验。其项目包含了青少年海外冬夏令营，大学生海外实习、海外雅思托福备考，职场白领短期海外游学，学年制语言课程（间隔年），本科、硕士、MBA预科课程，以及为公司高管量身定制的海外高级管理课程，覆盖全年龄段。",截止日期：2026-03-20,,https://www.shixiseng.com/intern/inn_cjwpldwvv8g2?pcm=pc_SearchList,实习僧,2026-03-19 23:21:23,https://www.shixiseng.com/intern/inn_cjwpldwvv8g2?pcm=pc_SearchList,,,,
b1b2e02f7a3e5b08c0140edf349e15c18dbc1e56,EF海外游学,B,短视频剪辑实习生,实习,上海市/上海市/静安区 九安广场 铜仁路258号 求职中若出现虚假宣传，收取财物,150元/天,2026-03-19,2026-03-20,,"作品集： （重点） 投递简历请务必附带个人作品集或相关作品链接（可以是个人账号作品或练习作品）。需要有短视频剪辑经验，首要条件。

如果你责任心强，细心且有耐心，具备良好的沟通能力和团队协作精神，能承受一定的工作压力（如赶热点需要快速出片）。
欢迎投递
以下是JD
工作职责： 
1.视频剪辑与后期： 负责抖音、视频号、小红书等平台的短视频剪辑工作，包括但不限于画面剪辑、音频处理、字幕添加、基础调色等
2. 素材管理： 协助团队进行素材的整理、归档和备份，确保素材库的条理清晰
3. 创意输出： 参与前期选题讨论，根据热点话题提出有网感的剪辑思路和创意玩法
4. 视频包装： 配合市场团队进行简单的片头片尾制作、特效添加及BGM（背景音乐）混音，提升视频完播率和趣味性
5. 账号维护： 熟悉各平台上传规则，协助完成视频发布、标题撰写及简单的评论互动

任职要求： 
1.本科、研究生；一周能工作三天以上（需要到公司坐班），并至少能实习3个月以上
2.擅长视频剪辑，能熟练使用剪映、PR、Finalcut等软件
3.网感好，熟悉社交媒体的流行趋势，抖音/B站/小红书的深度用户，熟悉短视频平台的流行梗、热门BGM和基本的视频风格，对热点话题敏感
4,.加分项：具有一定的英翻中能力，会简单的平面设计
5.审美在线： 对画面构图、色彩、节奏感有一定的把控能力，具备基础的摄影/摄像知识更佳

公司福利： 
- 实习证明；若表现优异，可额外获得推荐信
- 实习薪资：150元/天，特别优秀者薪资面谈；
- 空间超大的办公室，供应免费的冰淇淋、咖啡，定期有丰富办公室活动
- 定期培训，get 新媒体文案写作及运营/视频剪辑/秀米排版技巧
- 相亲相爱的EF大家庭，开放、包容、鼓励创新的企业文化

公司介绍：
- EF教育集团，全球最大的教育集团之一，1965年诞生于北欧国家瑞典。目前在全球116个国家共有46,500名员工。
- 我们不仅提供国内的成人及少儿英语培训，还在全球的20多个国家有50多个海外校区，而你将要工作的BU就是EF历史最悠久的产品线——EF海外游学留学。
- EF海外游学留学，在全球20+国家50+城市，提供10余种语言的学习及文化体验。其项目包含了青少年海外冬夏令营，大学生海外实习、海外雅思托福备考，职场白领短期海外游学，学年制语言课程（间隔年），本科、硕士、MBA预科课程，以及为公司高管量身定制的海外高级管理课程，覆盖全年龄段。",截止日期：2026-03-20,,https://www.shixiseng.com/intern/inn_hmrgveg9w4ob?pcm=pc_SearchList,实习僧,2026-03-19 23:21:24,https://www.shixiseng.com/intern/inn_hmrgveg9w4ob?pcm=pc_SearchList,,,,
16be10d1640c3cda8c9364f1803749babc4ad8e1,CDP,B,HR实习生,实习,上海市/上海市/闵行区 CDP Group Limited 求职中若出现虚假宣传,面议,2026-03-19,2026-07-11,,"工作职责
1. 协助校招和社招岗位，执行简历搜索筛选、电话面试、现场面试时间协调等。
2. 协助员工入职事宜
3. 招聘文案撰写等其他文书工作。
4. 参与HR团队的其他项目。

岗位要求
1、 本科学历；
2、 大学英语至少四级，较好的书面英语能力；
3、 办公软件熟练，数据报表统计及PPT总结有一定的功底；
4、 具备强烈的责任感，优秀的沟通协调能力，快速解决问题能力，主观能动性强，抗压能力强，善于自主思考和学习
5、有招聘实习经验者优先考虑；",截止日期：2026-07-11,,https://www.shixiseng.com/intern/inn_bbokrcqufpwn?pcm=pc_SearchList,实习僧,2026-03-19 23:21:26,https://www.shixiseng.com/intern/inn_bbokrcqufpwn?pcm=pc_SearchList,,,,
